manifesto_id,party,date,mean_score,n_sentences
53620_202002,53620,202002,0.196,1935
53951_202002,53951,202002,0.1814,1626
53952_202002,53952,202002,0.1054,1137
61320_196011,61320,196011,0.1453,755
61620_196011,61620,196011,0.1821,454
61320_196411,61320,196411,0.2631,228
61620_196411,61620,196411,0.0218,295
61320_196811,61320,196811,0.1702,662
61620_196811,61620,196811,0.1501,444
61320_197211,61320,197211,0.1501,1105
61620_197211,61620,197211,0.1788,1097
61320_197611,61320,197611,0.1117,832
61620_197611,61620,197611,0.1058,934
61320_198011,61320,198011,0.1593,1617
61620_198011,61620,198011,0.0207,1417
61320_198411,61320,198411,0.1211,1861
61620_198411,61620,198411,0.1335,1418
61320_198811,61320,198811,0.3376,69
61620_198811,61620,198811,0.1172,1817
61320_199211,61320,199211,0.2176,353
61620_199211,61620,199211,0.1316,1532
61320_199611,61320,199611,0.1882,745
61620_199611,61620,199611,0.0837,1233
61320_200011,61320,200011,0.152,1110
61620_200011,61620,200011,0.1004,1647
61320_200411,61320,200411,0.2834,910
61620_200411,61620,200411,0.1561,1751
61320_200811,61320,200811,0.2217,1094
61620_200811,61620,200811,0.137,998
61320_201211,61320,201211,0.2133,980
61620_201211,61620,201211,0.0532,1234
61320_201611,61320,201611,0.1126,1045
61620_201611,61620,201611,0.0428,1553
61320_202011,61320,202011,-0.0127,1522
61620_202011,61620,202011,0.0428,1553
61320_202411,61320,202411,0.1087,1745
61620_202411,61620,202411,0.111,227
62320_196206,62320,196206,0.1257,472
62420_196206,62420,196206,0.2029,348
62620_196206,62620,196206,0.1773,61
62951_196206,62951,196206,0.1209,112
62320_196304,62320,196304,0.2068,15
62420_196304,62420,196304,0.2237,324
62620_196304,62620,196304,-0.0159,65
62951_196304,62951,196304,0.1492,54
62320_196511,62320,196511,0.0176,23
62420_196511,62420,196511,0.1458,342
62620_196511,62620,196511,0.0224,104
62951_196511,62951,196511,0.1014,69
62320_196806,62320,196806,0.1392,183
62420_196806,62420,196806,0.1798,307
62620_196806,62620,196806,-0.0,337
62951_196806,62951,196806,0.159,73
62320_197210,62320,197210,0.0512,177
62620_197210,62620,197210,0.2121,70
62420_197407,62420,197407,0.1755,90
62620_197407,62620,197407,0.1296,52
62420_198002,62420,198002,0.1387,114
62620_198002,62620,198002,0.2163,45
62320_198409,62320,198409,0.089,256
62420_198409,62420,198409,0.232,318
62320_198811,62320,198811,0.091,539
62420_199310,62420,199310,0.1738,90
62320_199706,62320,199706,0.1613,604
62420_199706,62420,199706,0.2152,1990
62620_199706,62620,199706,0.072,856
62621_199706,62621,199706,0.3273,38
62901_199706,62901,199706,0.0361,337
