manifesto_id,party,date,mean_score,n_sentences
53230_201102,53230,201102,0.1429,49
53320_201102,53320,201102,0.4452,1242
53520_201102,53520,201102,0.4543,1367
53620_201102,53620,201102,0.4938,565
53951_201102,53951,201102,0.2269,542
53110_201602,53110,201602,0.4264,462
53231_201602,53231,201602,0.2706,388
53240_201602,53240,201602,-0.0942,223
53250_201602,53250,201602,0.0748,107
53320_201602,53320,201602,0.4832,1430
53321_201602,53321,201602,0.4525,610
53520_201602,53520,201602,0.6595,2103
53620_201602,53620,201602,0.3904,1742
53951_201602,53951,201602,0.2447,1132
53981_201602,53981,201602,0.0822,73
53110_202002,53110,202002,0.4866,1044
53231_202002,53231,202002,0.2389,586
53320_202002,53320,202002,0.4159,779
53321_202002,53321,202002,0.3732,1353
53520_202002,53520,202002,0.5485,2022
53620_202002,53620,202002,0.4253,1935
53951_202002,53951,202002,0.3223,1626
53952_202002,53952,202002,0.2164,1137
61320_196011,61320,196011,0.3629,755
61620_196011,61620,196011,0.5815,454
61320_196411,61320,196411,0.5175,228
61620_196411,61620,196411,0.2847,295
61320_196811,61320,196811,0.426,662
61620_196811,61620,196811,0.3491,444
61320_197211,61320,197211,0.2434,1105
61620_197211,61620,197211,0.351,1097
61320_197611,61320,197611,0.3954,832
61620_197611,61620,197611,0.4657,934
61320_198011,61320,198011,0.4898,1617
61620_198011,61620,198011,0.2886,1417
61320_198411,61320,198411,0.3031,1861
61620_198411,61620,198411,0.3921,1418
61320_198811,61320,198811,0.4638,69
61620_198811,61620,198811,0.4166,1817
61320_199211,61320,199211,0.2691,353
61620_199211,61620,199211,0.344,1532
61320_199611,61320,199611,0.2926,745
61620_199611,61620,199611,0.3041,1233
61320_200011,61320,200011,0.3225,1110
61620_200011,61620,200011,0.3443,1647
61320_200411,61320,200411,0.3604,910
61620_200411,61620,200411,0.4215,1751
61320_200811,61320,200811,0.3931,1094
61620_200811,61620,200811,0.3707,998
61320_201211,61320,201211,0.4796,980
61620_201211,61620,201211,0.3379,1234
61320_201611,61320,201611,0.3646,1045
61620_201611,61620,201611,0.2762,1553
61320_202011,61320,202011,0.3601,1522
61620_202011,61620,202011,0.2762,1553
61320_202411,61320,202411,0.3381,1745
61620_202411,61620,202411,0.4097,227
62320_196206,62320,196206,0.5169,472
62420_196206,62420,196206,0.4368,348
62620_196206,62620,196206,0.3443,61
62951_196206,62951,196206,0.6429,112
62320_196304,62320,196304,0.1333,15
62420_196304,62420,196304,0.4352,324
62620_196304,62620,196304,0.4923,65
62951_196304,62951,196304,0.5,54
62320_196511,62320,196511,0.3478,23
62420_196511,62420,196511,0.3947,342
62620_196511,62620,196511,0.4808,104
62951_196511,62951,196511,0.7536,69
62320_196806,62320,196806,0.3224,183
62420_196806,62420,196806,0.6091,307
62620_196806,62620,196806,0.3412,337
62951_196806,62951,196806,0.6986,73
62320_197210,62320,197210,0.2429,177
62620_197210,62620,197210,0.2714,70
62420_197407,62420,197407,0.5667,90
62620_197407,62620,197407,-0.0192,52
62420_198002,62420,198002,0.5,114
62620_198002,62620,198002,0.4889,45
62320_198409,62320,198409,0.3867,256
62420_198409,62420,198409,0.5252,318
62320_198811,62320,198811,0.2839,539
62420_199310,62420,199310,0.3778,90
62320_199706,62320,199706,0.2467,604
62420_199706,62420,199706,0.5387,1990
62620_199706,62620,199706,0.3575,856
62621_199706,62621,199706,0.7105,38
62901_199706,62901,199706,0.181,337
62320_200011,62320,200011,0.416,387
62420_200011,62420,200011,0.5136,551
62620_200011,62620,200011,0.378,672
62622_200011,62622,200011,0.3953,425
62320_200406,62320,200406,0.4317,586
62420_200406,62420,200406,0.5672,707
62623_200406,62623,200406,0.3554,484
62320_200601,62320,200601,0.3607,610
62420_200601,62420,200601,0.5716,1167
62623_200601,62623,200601,0.3808,520
62110_200810,62110,200810,0.3342,2029
62320_200810,62320,200810,0.4735,623
62420_200810,62420,200810,0.3844,346
62623_200810,62623,200810,0.4542,273
62110_201510,62110,201510,0.3554,453
62320_201510,62320,201510,0.3516,768
62420_201510,62420,201510,0.5622,747
62623_201510,62623,201510,0.3766,1325
62110_201910,62110,201910,0.2883,1013
62320_201910,62320,201910,0.3714,1042
62420_201910,62420,201910,0.5712,786
62623_201910,62623,201910,0.3614,1118
62110_202109,62110,202109,0.3969,1164
62320_202109,62320,202109,0.3702,1329
62420_202109,62420,202109,0.4928,1599
62623_202109,62623,202109,0.3727,1956
63320_196112,63320,196112,0.2482,137
63330_196112,63330,196112,-0.0167,60
63620_196112,63620,196112,0.2383,235
63810_196112,63810,196112,0.4058,69
63320_196311,63320,196311,0.2652,181
63330_196311,63330,196311,0.3702,262
63620_196311,63620,196311,0.3237,173
63810_196311,63810,196311,0.3333,60
63320_196611,63320,196611,0.3628,215
63330_196611,63330,196611,0.1667,372
63620_196611,63620,196611,0.4619,210
63810_196611,63810,196611,0.4034,119
63320_196910,63320,196910,0.1585,410
63330_196910,63330,196910,0.2029,69
63620_196910,63620,196910,0.3589,248
63810_196910,63810,196910,0.481,79
63320_197212,63320,197212,0.2637,493
63330_197212,63330,197212,0.2754,138
63620_197212,63620,197212,0.4251,374
63810_197212,63810,197212,0.527,74
63330_197405,63330,197405,0.2634,243
63620_197405,63620,197405,0.2805,246
63810_197405,63810,197405,-0.05,80
63320_197512,63320,197512,0.2081,418
63330_197512,63330,197512,0.1185,287
63620_197512,63620,197512,0.2477,218
63810_197512,63810,197512,0.1106,199
63320_197712,63320,197712,0.1906,299
63330_197712,63330,197712,0.4681,47
63620_197712,63620,197712,0.2817,394
63810_197712,63810,197712,0.2526,392
63320_198010,63320,198010,0.2385,260
63620_198010,63620,198010,0.4671,942
63810_198010,63810,198010,0.415,200
63320_198303,63320,198303,0.2203,345
63620_198303,63620,198303,0.5156,1156
63810_198303,63810,198303,0.1947,190
63320_198412,63320,198412,0.4202,376
63620_198412,63620,198412,0.3927,634
63810_198412,63810,198412,0.2757,214
63320_198707,63320,198707,0.4145,193
63810_198707,63810,198707,0.3981,216
63320_199003,63320,199003,0.5696,474
63620_199003,63620,199003,0.3604,541
63810_199003,63810,199003,0.2339,419
63320_199303,63320,199303,0.5466,580
63620_199303,63620,199303,0.1864,381
63810_199303,63810,199303,0.3333,108
63320_199603,63320,199603,0.3436,2544
63321_199603,63321,199603,0.3155,412
63320_199810,63320,199810,0.236,161
63321_199810,63321,199810,0.3,90
63620_199810,63620,199810,0.375,104
63810_199810,63810,199810,0.375,104
63320_200111,63320,200111,0.3114,228
63321_200111,63321,200111,0.3571,266
63620_200111,63620,200111,0.4888,268
63810_200111,63810,200111,0.4713,157
63110_200410,63110,200410,0.4359,156
63320_200410,63320,200410,0.3929,336
63620_200410,63620,200410,0.4195,298
63810_200410,63810,200410,0.4605,76
63110_200711,63110,200711,0.3952,124
63320_200711,63320,200711,0.1835,278
63620_200711,63620,200711,0.5533,150
63810_200711,63810,200711,0.7126,87
63110_201008,63110,201008,0.4411,1315
63320_201008,63320,201008,0.6027,438
63620_201008,63620,201008,0.413,46
63621_201008,63621,201008,0.413,46
63810_201008,63810,201008,0.466,927
63110_201309,63110,201309,0.4048,294
63320_201309,63320,201309,0.57,300
63410_201309,63410,201309,0.7152,165
63620_201309,63620,201309,0.5261,498
63621_201309,63621,201309,0.5261,498
63622_201309,63622,201309,0.5261,498
63710_201309,63710,201309,0.2866,157
63810_201309,63810,201309,0.5536,849
63110_201607,63110,201607,0.3916,332
63320_201607,63320,201607,0.3476,5377
63620_201607,63620,201607,0.4228,298
63621_201607,63621,201607,0.4228,298
63710_201607,63710,201607,0.3445,238
63810_201607,63810,201607,0.5257,641
63901_201607,63901,201607,0.5562,160
63110_201905,63110,201905,0.3791,633
63320_201905,63320,201905,0.4181,2844
63620_201905,63620,201905,0.4404,3753
63621_201905,63621,201905,0.4404,3753
63710_201905,63710,201905,0.3519,216
63810_201905,63810,201905,0.4642,4571
63901_201905,63901,201905,0.5146,274
63110_202205,63110,202205,0.2824,2390
63320_202205,63320,202205,0.3872,891
63620_202205,63620,202205,0.4673,7192
63621_202205,63621,202205,0.4673,7192
63710_202205,63710,202205,0.2308,26
63810_202205,63810,202205,0.4522,6649
63901_202205,63901,202205,0.5146,274
64320_196011,64320,196011,0.5532,329
64620_196011,64620,196011,0.5794,806
64951_196011,64951,196011,0.5341,279
64320_196311,64320,196311,0.5563,622
64620_196311,64620,196311,0.602,882
64951_196311,64951,196311,0.4655,464
64320_196611,64320,196611,0.4862,975
64620_196611,64620,196611,0.6521,802
64951_196611,64951,196611,0.4403,670
64320_196911,64320,196911,0.501,1042
64620_196911,64620,196911,0.6206,1526
64951_196911,64951,196911,0.3967,1316
64320_197211,64320,197211,0.5342,1213
64620_197211,64620,197211,0.5489,1616
64951_197211,64951,197211,0.4958,1182
64320_197511,64320,197511,0.5291,1170
64620_197511,64620,197511,0.5399,2132
64951_197511,64951,197511,0.4701,1721
64320_197811,64320,197811,0.4264,2383
64620_197811,64620,197811,0.5708,1694
64951_197811,64951,197811,0.4577,2058
64320_198111,64320,198111,0.2699,352
64620_198111,64620,198111,0.5535,1561
64951_198111,64951,198111,0.4753,1702
64320_198407,64320,198407,0.4603,2307
64620_198407,64620,198407,0.3359,128
64951_198407,64951,198407,0.5841,214
64320_198708,64320,198708,0.6239,109
64620_198708,64620,198708,0.4249,826
64951_198708,64951,198708,0.4062,256
64320_199010,64320,199010,0.5187,1712
64620_199010,64620,199010,0.3919,421
64951_199010,64951,199010,0.4,220
64320_199311,64320,199311,0.3322,1812
64321_199311,64321,199311,0.3894,321
64620_199311,64620,199311,0.4764,592
64621_199311,64621,199311,0.2557,786
64320_199610,64320,199610,0.3333,72
64321_199610,64321,199610,0.2527,277
64420_199610,64420,199610,0.4236,144
64620_199610,64620,199610,0.4069,467
64621_199610,64621,199610,0.0206,97
64110_199911,64110,199911,0.4665,969
64320_199911,64320,199911,0.4141,495
64321_199911,64321,199911,0.3812,223
64420_199911,64420,199911,0.3352,352
64620_199911,64620,199911,0.5404,161
64621_199911,64621,199911,0.4017,585
64110_200207,64110,200207,0.4444,72
64320_200207,64320,200207,0.5544,2893
64420_200207,64420,200207,0.1724,1230
64421_200207,64421,200207,0.2376,101
64422_200207,64422,200207,0.4674,92
64621_200207,64621,200207,0.3559,1194
64110_200509,64110,200509,0.3974,78
64320_200509,64320,200509,0.5812,160
64420_200509,64420,200509,0.3333,3
64422_200509,64422,200509,0.7895,19
64620_200509,64620,200509,0.2857,147
64901_200509,64901,200509,0.5714,7
64110_200811,64110,200811,0.1989,181
64320_200811,64320,200811,0.4083,240
64420_200811,64420,200811,0.375,48
