"party","parfam","partyname"
31622,60,"National Centre of Independents and Peasants - Conservatives"
31623,60,"Union for the Defence of Traders and Artisans - Poujadists"
31621,60,"Union for the New Republic - Gaullists"
31522,50,"Democratic Centre"
31621,60,"Democratic Union of the Fifth Republic - Gaulists"
31522,50,"Progress and Modern Democracy"
31621,60,"Union for the Defence of the Republic - Gaullists"
31320,30,"Socialist Party"
31523,50,"Centre, Democracy and Progress"
31529,50,"Reformers’ Movement"
31621,60,"Union of Democrats for the Republic - Gaullists"
31621,60,"Rally for the Republic - Gaullists"
31624,60,"Union for French Democracy"
31621,60,"Union for a New Majority - Gaullists/Conservatives"
31622,60,"Union for a New Majority - Conservatives/Gaullists"
31720,70,"National Front"
31110,10,"The Greens"
31625,60,"Rally for the Republic"
31111,10,"Ecology Generation"
31626,60,"Union for the Presidential Majority"
31624,60,"Democratic Movement"
31626,60,"Union for a Popular Movement"
31021,20,"Left Front"
31110,10,"Europe Ecology - The Greens"
31230,20,"Left Radical Party"
31421,40,"Radical Party"
31630,60,"New Centre"
31631,60,"Centrist Alliance"
31240,20,"Indomitable France"
31425,40,"Republic Onwards!"
31430,40,"Union of Democrats and Independents"
31626,60,"The Republicans"
31022,20,"New Ecologic and Social People's Union"
31041,40,"Together for the Republic"
31061,60,"Union of the Right and Centre"
31425,40,"Renaissance"
31440,40,"Horizons"
32220,20,"Italian Communist Party"
32320,30,"Italian Socialist Party"
32410,40,"Italian Republican Party"
32420,40,"Italian Liberal Party"
32520,50,"Christian Democrats"
32330,30,"Socialist Party of Italian Workers"
32710,70,"Italian Social Movement"
32330,30,"Italian Democratic Socialist Party"
32322,30,"Unified Italian Socialist Party-Italian Democratic Socialist Party"
32710,70,"Italian Social Movement-National Right"
32210,20,"Proletarian Unity Party for Communism (The Manifesto + Proletarian Unity Party)"
32310,30,"Radical Party"
32211,20,"Proletarian Democracy"
32110,10,"Green Federation"
32212,20,"Communist Refoundation Party"
32220,20,"Democratic Party of the Left"
32310,30,"Pannella List"
32720,70,"Northern League"
32951,95,"The Network/Movement for Democracy"
32310,30,"Pannella-Riformatori List"
32520,50,"Italian Popular Party"
32528,50,"Pact for Italy"
32529,50,"Democratic Alliance"
32610,60,"Go Italy"
32710,70,"National Alliance"
32310,30,"Pannella-Sgarbi List"
32321,30,"Italian Renewal"
32521,50,"Christian Democratic Centre"
32111,10,"The Girasole (‘Sunflower')"
32213,20,"Party of Italian Communists"
32220,20,"Democrats of the Left"
32329,30,"Olive Tree"
32421,40,"Daisy - Democracy is Freedom"
32522,50,"White Flower"
32611,60,"New Italian Socialist Party"
32629,60,"House of Freedom"
32901,95,"European Democracy"
32902,95,"List Di Pietro - Italy of Values"
32221,20,"Rose in the Fist"
32530,50,"Union for Christian and Center Democrats"
32903,90,"Autonomy Liberty Democracy (Aosta Valley)"
32904,90,"South Tyrolean People’s Party"
32952,95,"Italy in the World"
32953,95,"Popular Democratic Union for Europe"
32955,98,"The Union – Prodi"
32061,60,"People of Freedom"
32440,30,"Democratic Party"
32530,50,"Union of the Center"
32021,20,"Civil Revolution"
32230,20,"Left Ecology Freedom"
32450,40,"Democratic Centre"
32460,40,"Civic Choice"
32630,70,"Brothers of Italy - National Centre-right"
32640,60,"Labour and Freedom List"
32906,90,"Autonomy Progress Federalism Aosta Valley"
32956,95,"Five Star Movement"
32022,20,"Italy Europe Together"
32031,30,"Free and Equal"
32051,50,"Popular Civic List"
32055,50,"Us with Italy"
32090,90,"Coalition of South Tyrolean People’s Party and Trentino Tyrolean Autonomist Party"
32451,40,"More Europe"
32630,70,"Brothers of Italy"
32720,70,"League"
33220,20,"Communist Party of Spain"
33320,30,"Spanish Socialist Workers’ Party"
33430,40,"Union of the Democratic Centre/Centrist Bloc"
33610,60,"Popular Alliance"
33901,90,"Basque Left"
33902,90,"Basque Nationalist Party"
33904,90,"Aragonese Regionalist Party"
33905,90,"Catalan Republican Left"
33906,90,"Andalusian Party"
33611,90,"Convergence and Union"
33438,40,"Popular Democratic Party"
33512,50,"Centre Democrats"
33220,20,"United Left"
33439,40,"Liberal Party"
33610,60,"People's Party"
33903,90,"Basque Solidarity"
33904,90,"Aragonese Party"
33907,90,"Canarian Coalition"
33908,90,"Galician Nationalist Bloc"
33909,90,"Aragonist Council"
33910,90,"Navarrese People's Union"
33091,90,"Future Yes"
33092,95,"Amaiur"
33093,95,"Commitment-Q"
33440,40,"Union, Progress and Democracy"
33612,90,"Forum Asturias"
33020,20,"Popular Unity"
33095,90,"Basque Country Unite"
33096,90,"In Common We Can"
33097,90,"In Tide"
33098,90,"Commitment-We can-It is time"
33099,90,"Democracy and Freedom"
33210,20,"We can"
33420,40,"Citizens - Party of the Citizens"
33907,90,"Canarian Coalition and Canarian Nationalist Party"
33025,90,"United We Can"
33098,90,"Valencian style"
33911,90,"Democratic Convergence of Catalonia"
33710,70,"Voice"
33907,90,"Canarian Coalition–New Canaries"
33912,90,"Together for Catalonia"
33913,90,"Regionalist Party of Cantabria"
33914,90,"More Commitment"
33230,20,"More Country - Equo"
33915,90,"Popular Unity Candidacy"
33916,90,"Teruel exists"
33021,20,"Unite"
34210,20,"Communist Party of Greece"
