"party","parfam","partyname"
81042,98,"Coalition of the Croatian Social-liberal Party and the Democratic Centre"
81910,90,"Independent Democratic Serbian Party"
81957,95,"Croatian Party of Pensioners"
81041,98,"Coalition of the Croatian Peasant Party, the Croatian Social-liberal Party and the Primorian-Goranski Union"
81712,40,"Croatian People’s Party - Liberal Democrats"
81952,95,"Croatian Democratic Assembly of Slavonia and Baranja"
81032,30,"Kukuriku Coalition"
81230,20,"Croatian Labourists - Labour Party"
81440,40,"Independent List of Ivan Grubišić"
81032,30,"Croatia is growing"
81061,60,"Patriotic Coalition"
81091,90,"Our Own Right"
81450,40,"People's Party - Reformists"
81460,40,"Bridge of Independent Lists"
81960,95,"Human Shield"
81961,95,"Milan Bandić 365 - The Party of Labour and Solidarity"
81022,20,"The Only Option Coalition"
81032,30,"People's coalition"
81043,40,"Coalition for Prime Minister"
81091,90,"Even Stronger Istria Coalition"
81032,30,"Restart Coalition"
81044,40,"Party with a First and Last Name - Smart - Focus"
81240,20,"We can!-political platform"
81245,20,"Workers' Front"
81310,30,"New Left"
81714,70,"Miroslav Škoro Homeland Movement"
82220,20,"Communist Party of Czechoslovakia"
82410,40,"Civic Forum"
82520,60,"Czechoslovak People’s Party"
82529,50,"Christian and Democratic Union"
82951,90,"Movement for an Autonomous Democracy - Society for Moravia-Silesia"
82221,20,"Left Bloc"
82320,30,"Czechoslovak Social Democratic Party"
82412,40,"Civic Democratic Alliance"
82413,60,"Civic Democratic Party"
82419,60,"Civic Democratic Party - Christian Democratic Party"
82420,40,"Liberal Social Union"
82521,50,"Christian Democratic Party"
82523,50,"Christian and Democratic Union - Czech People's Party"
82710,70,"Association for the Republic – Republican Party of Czechoslovakia"
82220,20,"Communist Party of Bohemia and Moravia"
82320,30,"Czech Social Democratic Party"
82901,95,"Pensioners for a Life Security"
82421,60,"Freedom Union"
82524,60,"Christian and Democratic Union - Czech People's Party -  Freedom Union - Democratic Union"
82110,10,"Green Party"
82530,50,"Tradition, Responsibility, Prosperity 09"
82952,90,"Public Affairs"
82430,40,"ANO 2011"
82720,70,"Tomio Okamura's Dawn of Direct Democracy"
82610,60,"Mayors and Independents"
82721,70,"Freedom and Direct Democracy"
82953,95,"Czech Pirate Party"
83220,20,"Electoral Union ‘Secure Home'"
83320,30,"Estonian Social Democratic Party"
83410,30,"Electoral coalition Estonian Rural Center Party - Estonian Social Democratic Party"
83421,40,"Electoral Union ‘Popular Front'"
83710,60,"National Coalition Pro Patria"
83711,60,"Estonian National Independence Party"
83712,80,"Electoral Union ‘Estonian Citizen'"
83901,95,"Electoral Union ‘Independent Royalists'"
83411,40,"Estonian Center Party"
83430,40,"Estonian Reform Party"
83610,60,"Republican and Conservative People’s Party ‘Right-wingers'"
83709,60,"Electoral Union Pro Patria and Estonian National Independence Party"
83713,80,"Coalition Party"
83719,80,"Coalition Party and Rural Union"
83951,90,"Electoral Union ‘Our Home is Estonia'"
83410,30,"People’s Party Moderates"
83709,60,"Pro Patria Union"
83810,80,"Estonian Rural People’s Party"
83952,90,"Estonian United People’s Party"
83611,60,"Union for the Republic"
83612,80,"Estonian People’s Union"
83110,10,"Estonian Greens"
83410,30,"Social Democratic Party"
83611,60,"Pro Patria and Res Publica Union"
83440,60,"Free Party"
83720,70,"Conservative People's Party of Estonia"
83611,60,"Pro Patria"
84095,95,"Round Table - Free Georgia"
84220,20,"Communist Party of Georgia"
84720,70,"Popular Front"
84952,95,"Democratic Georgia"
84110,10,"Green Party of Georgia"
84221,40,"Election Bloc ‘Peace’"
84222,30,"Georgian Workers’ Socialist Party"
84321,30,"Social Democratic Party of Georgia"
84322,30,"Georgian Social Justice Union"
84411,40,"Charter 91"
84421,60,"Election Bloc ‘Oktober 11’"
84422,40,"‘Unity' Bloc"
84423,30,"Democratic Party"
84521,70,"Union of God’s Children of Georgia"
84710,60,"Union of Georgian Traditionalists"
84711,50,"National Democratic Party"
84712,70,"Ilia Chavchavadze Society"
84713,70,"Merab Kostava Society"
84714,30,"Union of National Agreement and Revival of Georgia"
84715,70,"Georgian National Independent Party"
84810,80,"All-Georgian Farmers’ Union"
84951,30,"People’s Friendship and Justice"
84223,20,"Socialist Party of Georgia"
84323,30,"Citizens’ Union of Georgia"
84424,90,"All-Georgian Revival Union"
84425,40,"Bloc ‘Progress’"
84426,40,"Political Alliance ‘Support’"
84427,40,"Reformers' Union of Georgia - National Concord"
84424,90,"Bloc ‘Georgia's Revival’"
84428,60,"Industry will save Georgia"
84424,90,"Union for the Democratic Revival"
84429,30,"Georgian Labour Party"
84430,98,"Burjanadze - Democrats Bloc"
84431,60,"New Rights"
84432,98,"Election Bloc ‘For a New Georgia’"
84716,40,"Bloc ‘Saakashvili - National Movement’"
84716,40,"United National Movement"
84041,40,"United Opposition (National Council/Rights)"
84440,40,"Republican Party of Georgia"
84530,50,"Christian-Democratic Movement"
84042,40,"Bidzina Ivanishvili - Georgian Dream"
84450,40,"Georgian Dream - Democratic Georgia"
84730,70,"Alliance of Patriots of Georgia"
84435,40,"Strategy Aghmashenebeli"
84445,40,"Try for Georgia"
84460,40,"New Political Center - Girchi"
84610,60,"European Georgia - Movement for Liberty"
85111,10,"Green Party-Independent Women's League"
85112,10,"Alliance 90"
85210,20,"United Left Action Alliance"
85221,20,"Party for Democratic Socialism"
85320,30,"Social Democratic Party of Germany"
85421,40,"Free Democratic Party"
85422,40,"Liberal Democratic Party"
85423,40,"German Forum Party"
85424,40,"National Democratic Party of Germany"
85429,40,"Alliance of Free Democrats"
85521,50,"Christian Democratic Union"
85522,50,"German Social Union"
85523,50,"Democratic Opening"
85524,80,"Democratic Peasants’ Party of Germany"
85901,95,"Democratic Women’s League"
86220,30,"Hungarian Socialist Party"
86320,30,"Hungarian Social Democratic Party"
86421,70,"Federation of Young Democrats"
86422,40,"Alliance of Free Democrats"
86521,50,"Hungarian Democratic Forum"
86522,50,"Christian Democratic People’s Party"
86810,80,"Independent Smallholders’ Party"
86811,80,"Agrarian Alliance"
86421,70,"Federation of Young Democrats - Hungarian Civic Party - Hungarian Democratic Forum- Alliance"
86620,70,"Hungarian Justice and Life Party"
86421,70,"Alliance of Federation of Young Democrats - Hungarian Civic Union - Christian Democratic People's Party"
86110,10,"Politics Can Be Different"
86710,70,"Movement for a Better Hungary"
86221,20,"Democratic Coalition"
86340,20,"Together 2014 -Dialogue for Hungary Electoral Alliance"
86111,20,"Dialogue for Hungary"
86421,70,"Alliance of Federation of Young Democrats - Christian Democratic People's Party"
86001,98,"United for Hungary"
86711,70,"Our Homeland Movement"
87220,20,"Harmony for Latvia - Rebirth of the Economy"
87410,40,"Latvian Way Union"
87420,40,"Latvian Liberal Party"
87430,40,"Democratic Centre Party"
87520,50,"Christian Democratic Union"
87710,60,"Latvian National Independence Movement"
87721,70,"For Fatherland and Freedom"
87810,80,"Latvian Farmers’ Union"
87951,90,"Equal Rights"
87310,30,"Latvian Socialist Party"
87320,20,"Latvian Unity Party"
87411,40,"Democratic Party ‘Saimnieks’"
87421,20,"National Harmony Party"
87611,60,"Coalition Latvian National Conservative Party and Latvian Green Party"
87722,70,"Popular Movement for Latvia-Zigerista Party"
87811,80,"Coalition of Latvian Farmers' Union, Latvian Christian Democratic Union and Democratic Party of Latgale"
87311,30,"Latvian Social Democratic Alliance"
87431,40,"New Party"
87610,60,"People’s Party"
87723,70,"For Fatherland and Freedom - Latvian National Independence Movement"
87110,80,"Greens' and Farmers’ Union"
87422,30,"For Human Rights in a United Latvia"
87423,60,"New Era"
87521,50,"Latvia’s First Party"
87021,20,"Concord Centre"
87041,40,"‘Latvia's First Party' and ‘Latvian Way' Union"
87061,40,"For a Good Latvia"
87062,60,"Unity"
87071,70,"National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement'"
87620,60,"Zatlers' Reform Party"
87340,30,"Social Democartic Party Harmony"
87630,60,"For Latvia from the Heart"
87901,90,"Latvian Association of Regions"
87042,40,"Development/For!"
87640,60,"New Conservative Party"
87730,70,"Who owns the state?"
87011,10,"United List"
87063,60,"New Unity"
87312,30,"The Progressives"
87340,30,"Social Democartic Party ""Harmony"""
87735,70,"For Stability"
87736,70,"Latvia First"
88220,20,"Lithuanian Democratic Labour Party"
88320,30,"Lithuanian Social Democratic Party"
88420,40,"Centre Movement of Lithuania"
88421,40,"Sajudis Coalition"
88521,50,"Lithuanian Christian Democratic Party"
88522,60,"Lithuanian Democratic Party"
88523,95,"Lithuanian Union of Political Prisoners and Deportees"
88529,50,"Lithuanian Christian Democratic Party Coalition"
88710,70,"Lithuanian National Union"
88951,90,"Lithuanian Polish Union"
88420,40,"Lithuanian Centre Union"
88620,60,"Homeland Union"
88321,30,"A. Brazauskas Social Democratic Coalition"
88410,40,"New Union (Social Liberals)"
88422,40,"Lithuanian Liberal Union"
88810,80,"Lithuanian Peasants Party"
88951,90,"Election Action of Lithuania’s Poles"
88031,30,"Working for Lithuania"
88041,40,"Coalition of Rolandas Paksas ‘For Order and Justice'"
88430,40,"Liberal and Centre Union"
88440,40,"Labour Party"
88820,80,"Union of Peasants and New Democracy Party"
88042,40,"Coalition Labour Party and Youth"
88450,40,"Liberal Movement"
88460,70,"Order and Justice"
88621,60,"Homeland Union - Lithuanian Christian Democrats"
88630,60,"National Resurrection Party"
88820,80,"Lithuanian Peasant and Green Union"
88952,95,"The Way of Courage"
88322,30,"Social Democratic Labour Party of Lithuania"
88451,40,"Freedom Party"
89221,30,"League of Communists of Macedonia - Party of Democratic Change"
89222,40,"Alliance of Reform Forces of Macedonia"
89223,40,"Young Democratic Progressive Party of Macedonia"
89228,98,"Joint Candidates of Socialist Party of Macedonia/Young Democratic Progressive Party of Macedonia/Alliance of Reform Forces of Macedonia"
89229,98,"Joint Candidates of Socialist Party of Macedonia/Young Democratic Progressive Party of Macedonia/Alliance of Reform Forces of Macedonia/Party for the Complete Emancipation of the Roma"
89320,20,"Socialist Party of Macedonia"
89420,40,"Party of Yugoslavs in Macedonia"
89710,50,"Internal Macedonian Revolutionary Organization - Democratic Party for Macedonian National Unity"
89951,90,"Party for Democratic Prosperity in Macedonia"
89952,90,"People’s Democratic Party"
89953,90,"Party for the Complete Emancipation of the Roma"
89959,90,"Joint Candidates of Party for Democratic Prosperity in Macedonia/People’s Democratic Party"
89221,30,"Social-Democratic League of Macedonia"
89222,40,"Liberal Party"
89227,30,"Union of Macedonia"
89951,90,"Party for Democratic Prosperity"
89224,40,"Liberal Democratic Party"
89321,40,"Democratic Alternative"
89430,40,"Liberal Party of Macedonia"
89910,90,"Democratic Party of Albanians"
89940,90,"Democratic Union for Integration"
89230,20,"New Social Democratic Party"
89511,50,"Internal Macedonian Revolutionary Organization–People's Party"
89920,90,"Democratic Party of Turks"
89330,30,"Democratic Renewal of Macedonia"
89810,80,"Party for European Future"
89930,90,"National Democratic Revival"
89031,30,"Coalition Civic Option for Macedonia"
89911,90,"Movement for Reforms - Democratic Party of Albanians"
89912,90,"Alliance for Albanians"
89916,90,"Besa Movement"
90220,20,"Electoral Bloc of the Socialist Party and the Movement ‘Unity'"
90520,90,"Alliance of the Christian Democratic People's Front"
90810,80,"Agrarian Democratic Party of Moldova"
90951,98,"Bloc of Peasants and Intellectuals"
90221,20,"Party of Communists of the Republic of Moldova"
90410,40,"Party of Democratic Forces"
90420,40,"Electoral Bloc ‘For a Democratic and Prosperous Moldova'"
90610,60,"Electoral Bloc ‘Democratic Convention of Moldova'"
90520,90,"Christian Democratic People’s Party"
90952,90,"Electoral Block ‘Braghis Alliance'"
90320,30,"Electoral Bloc ‘Democratic Moldova'"
90321,30,"Our Moldova Alliance"
90330,30,"Democratic Party of Moldova"
90430,40,"Liberal Democratic Party of Moldova"
90620,60,"Liberal Party"
90231,20,"Party of Socialists of the Republic of Moldova"
90040,40,"Electoral bloc NOW  Platform DA and PAS"
90630,60,"Șor Party"
91220,20,"League of Communists of Montenegro"
91222,30,"Socialist Party of Montenegro"
91223,30,"Socialist Party"
91229,40,"Alliance of Reform Forces for Montenegro"
91420,40,"Liberal Alliance of Montenegro"
91710,90,"People’s Party"
91951,90,"Party of National Equality"
91952,90,"Democratic League in Montenegro"
91959,90,"Democratic Coalition"
91220,20,"Democratic Party of Socialists of Montenegro"
91320,30,"Social Democratic Party of Reformists"
91711,90,"Serbian Radical Party"
91321,30,"Social Democratic Party of Montenegro"
91953,90,"Democratic Action Party of Montenegro"
91224,30,"Socialist People’s Party of Montenegro"
91323,30,"For a Better Live"
91712,90,"Serbian People's Party"
91020,20,"Coalition for European Montenegro"
91421,40,"Liberal Party of Montenegro"
91430,60,"Movement for Changes"
91930,90,"Serb list"
91910,90,"New Serbian Democracy"
91060,60,"Democratic Front"
91330,30,"Positive Montenegro"
91920,90,"Bosniak Party"
91030,30,"Key Coalition"
91322,30,"United Reform Action"
91324,30,"Social Democrats of Montenegro"
91440,40,"Democratic Montenegro"
91610,60,"Democratic Alliance"
91040,40,"Peace is our Nation"
91090,90,"For the Future of Montenegro"
91021,20,"Together!"
91041,40,"Aleksa and Dritan – Count Bravely!"
91061,60,"Albanian Forum"
91062,60,"Albanian Alliance"
91445,40,"Europe Now Movement"
91620,60,"Croatian Civic Initative"
92210,30,"Democratic Left Alliance"
92211,30,"Democratic Party"
92320,30,"Independent Self-governing Trade Union ‘Solidarity’"
92321,30,"Labour Solidarity"
92410,30,"Democratic Union"
92420,40,"Liberal-Democratic Congress"
92431,40,"Polish Beer-Lovers' Party"
92432,40,"Union of Real Politics"
92433,40,"Polish Economic Program (Large Beer)"
92520,50,"Christian Democratic Labour Party"
92521,50,"Centre Citizens’ Alliance"
92522,50,"Party of Christian Democrats"
92523,50,"Movement for the Republic"
92530,50,"Catholic Electoral Action"
92710,70,"Confederation for an Independent Poland"
92711,70,"Polish Western Union"
92712,70,"Party X"
92810,80,"Peasant Accord"
92811,80,"Polish Peasants' Party"
92952,90,"Movement for the Autonomy of Silesia"
92953,90,"German Minority"
92322,30,"Union of Labour"
92901,95,"Non-Party Bloc in Support of Reforms"
92434,40,"Freedom Union"
92620,50,"Electoral Action ‘Solidarity'"
92621,40,"Movement for the Reconstruction of Poland"
92212,30,"Coalion of the Democratic Left Alliance and the Union of Labour"
92435,40,"Civic Platform"
92436,70,"Law and Justice"
92622,80,"Self-Defence of the Polish Republic"
92713,50,"League of Polish Families"
92021,30,"Left and Democrats"
92440,40,"Palikot's Movement"
92022,30,"United Left"
92450,40,"Modern"
92720,70,"Kukiz'15"
92022,30,"The Left"
92050,50,"Polish Coalition"
92070,70,"Confederation Liberty and Independence"
92455,40,"Spring"
93111,10,"Ecological Movement of Romania"
93112,10,"Romanian Ecological Party"
93221,30,"National Salvation Front"
93222,20,"Romanian Socialist Democratic Party"
93320,30,"Romanian Social Democratic Party"
93430,40,"National Liberal Party"
93521,50,"Christian Democratic National Peasants’ Party"
93523,50,"National Democratic Party"
93524,50,"Romanian Democratic Front from Timisoara"
93529,50,"Democratic Group of the Centre"
93711,70,"Romanian National Unity Party"
93714,70,"Republican Party"
93719,70,"Romanian Unity Alliance"
93810,80,"Democratic Agrarian Party of Romania"
93951,90,"Hungarian Democratic Alliance of Romania"
93223,20,"Democratic National Salvation Front"
93411,50,"Democratic Convention of Romania"
93712,70,"Greater Romania Party"
93713,20,"Socialist Labour Party"
93223,20,"Party of Social Democracy of Romania"
93322,30,"Social Democratic Union"
93221,30,"Democratic Party"
93223,20,"Social Democratic Pole of Romania"
93001,98,"National Union PSR+PUR"
93041,40,"Justice and Truth Alliance"
93002,98,"Social Democratic Party + Conservative Party Alliance"
93530,50,"Democratic Liberal Party"
93031,30,"Social Liberal Union"
93061,60,"Right Romania Alliance"
93981,70,"People's Party - Dan Dianconescu"
93223,20,"Social Democratic Party"
93420,40,"Alliance of Liberals and Democrats"
93440,40,"Save Romania Union"
93540,50,"People's Movement Party"
94221,20,"Communist Party ot the Russian Federation"
94222,80,"Agrarian Party of Russia"
94223,95,"Women of Russia"
94224,95,"Dignity and Charity"
94320,30,"Russian Movement for Democratic Reform"
94421,40,"Russia’s Democratic Choice"
94422,40,"Yavlinsky-Boldyrev-Lukin Bloc"
94423,95,"Party of Russian Unity and Accord"
94711,70,"Liberal Democratic Party of Russia"
94712,40,"Democratic Party of Russia"
94225,70,"Power to the People!"
94321,30,"Ivan Rybkin’s Bloc"
94422,40,"Russian United Democratic Party ‘Yabloko'"
94424,40,"Our Home - Russia"
94425,40,"Forward, Russia!"
94426,40,"Pamfilova - Gurov - V. Lysenko Bloc (Republican Party of Russia)"
94427,40,"Russia’s Democratic Choice – United Democrats"
94713,70,"Congress of Russian Communities"
94620,95,"Inter-Regional Movement ‘Unity'"
94621,60,"Union of Right Forces"
94622,95,"Fatherland - All Russia"
94710,70,"Zhirinovsky Bloc"
94310,70,"Motherland - People's Patriotic Union"
94951,95,"United Russia"
94901,30,"Just Russia"
95221,20,"Socialist Party of Serbia"
95222,40,"Alliance of Reform Forces of Yugoslavia for Vojvodina"
95430,40,"Democratic Party"
95710,40,"Serbian Renewal Movement"
95810,80,"Peasants Party of Serbia"
95951,90,"Democratic Community of Magyars of Vojvodina"
95952,90,"Party of Democratic Action"
95222,40,"Reformist Democratic Party of Vojvodina"
95420,40,"Democratic Movement of Serbia"
95422,30,"New Democracy"
95711,70,"Serbian Radical Party"
95421,40,"Civic Alliance of Serbia"
95712,60,"Democratic Party of Serbia"
95954,90,"Coalition of Albanian Parties"
95955,90,"Party for Democratic Activity"
95091,90,"Vojvodina Coalition"
95223,30,"Yugoslav Left"
95229,30,"Coalition of Socialist Party of Serbia, Yugoslav Left and New Democracy"
95423,40,"Democratic Opposition of Serbia"
95060,60,"Serbian Renewal Movement/New Serbia"
95450,40,"G17plus"
95065,60,"Democratic Party of Serbia/New Serbia"
95431,40,"Liberal Democratic Party"
95040,40,"For a European Serbia Alliance"
95901,90,"Hungarian Coalition"
95021,20,"Socialist Party of Serbia/Party of United Pensioners of Serbia/United Serbia"
95041,40,"Choice For a Better Life – Boris Tadić"
95042,40,"Turnover – Čedomir Jovanović"
95070,70,"Let's get Serbia moving - Tomislav Nikolic"
95451,40,"United Regions of Serbia – Mlađan Dinkić"
95720,70,"None-of-the-above"
95902,90,"Alliance of Vojvodina Hungarians"
95045,40,"New Democratic Party-Greens/League of Social Democrats of Vojvodina/Together for Serbia/Democartic Fellowship of Vojvodina Hungarians/Together for Vojvodina/Democratic Left of Roma"
95071,70,"Aleksandar Vucic - The future in which we believe"
95021,20,"Ivica Dačić –  Socialist Party of Serbia, United Serbia – Dragan Markovic Palma"
95043,40,"Boris Tadić, Čedomir Jovanović – Alliance for a Better Serbia"
95044,40,"For a just Serbia (DS, Nova, DSHV, ZZS)"
95066,60,"Dveri – DPS – Sanda Raskovic Ivic – Bosko Obradovic"
95071,70,"Aleksandar Vucic – Serbia wins"
95100,10,"Green Party"
95440,40,"Now it’s enough – Sasa Radulovic"
95903,90,"Bosniak Democratic Community of Sandzak"
95071,70,"Aleksandar Vučić — For Our Children"
95093,90,"Academician Muamer Zukorlic - Straight ahead - Party of Justice and Reconciliation (SPP) - Democratic Party of Macedonians (DPM)"
95730,70,"Serbian Partiotic Alliance"
95011,10,"We must"
95046,40,"United for the Victory of Serbia"
95067,60,"National Democratic Alternative"
95072,70,"Serbian Movement Dveri - Movement for the Restoration of the Kingdom of Seria"
95735,70,"Serbian Party Oathkeepers"
95903,90,"Justice and Reconciliation Party"
95021,20,"Ivica Dačić — Prime Minister of Serbia"
95047,40,"Serbia Against Violence"
95071,70,"Aleksandar Vučić – Serbia Must Not Stop"
95740,70,"We–The Voice from the People"
96111,10,"Green Party of Slovakia"
96220,30,"Party of the Democratic Left"
96420,40,"Democratic Party"
96430,40,"Public Against Violence"
96521,50,"Christian Democratic Movement"
96710,70,"Slovak National Party"
96952,90,"Coalition of Coexistence and the Hungarian Christian-Democratic Movement"
96431,40,"Alliance of Democrats of the Slovak Republic"
96711,70,"Movement for a Democratic Slovakia"
96951,90,"Coexistence"
96210,20,"Workers’ Association of Slovakia"
96221,30,"Common Choice"
96421,40,"Democratic Union of Slovakia"
96712,70,"National Democratic Party - New Alternative"
96952,90,"Hungarian Coalition"
96953,90,"Hungarian Christian Democratic Movement"
96954,90,"Hungarian Civic Party"
96422,40,"Party of Civic Understanding"
96522,50,"Slovak Democratic Coalition"
96952,90,"Party of the Hungarian Coalition"
96222,20,"Communist Party of Slovakia"
96423,30,"Direction-Social Democracy"
96424,40,"Alliance of the New Citizen"
96523,50,"Slovak Democratic and Christian Union"
96523,50,"Slovak Democratic and Christian Union - Democartic Party"
96440,40,"Freedom and Solidarity"
96610,60,"Civic Conservative Party"
96955,95,"Bridge"
96620,60,"Ordinary People and Independent Personalities"
96630,60,"Network"
96720,70,"Kotleba – People's Party Our Slovakia"
96725,70,"We Are Family"
97110,10,"Greens of Slovenia"
97220,20,"League of Communists of Slovenia"
97320,30,"Social-Democratic Party of Slovenia"
97421,40,"Liberal Democratic Party"
97430,60,"Democratic Party of Slovenia"
97520,50,"Slovenian Christian Democrats"
97521,50,"Slovenian People's Party"
97810,80,"Slovenian Peasant League"
97223,20,"Unity, Asssociated List"
97710,70,"Slovenian National Party"
97321,30,"Associated List of Social Democrats"
97421,40,"Liberal Democracy of Slovenia"
97951,95,"Democratic Party of Pensioners of Slovenia"
97522,50,"New Slovenian Christian People’s Party"
97952,95,"Party of Slovenian Youth"
97322,30,"Social Democratic Party"
97330,60,"Slovenian Democratic Party"
97440,40,"For Real"
97340,30,"Zoran Janković's List - Positive Slovenia"
97450,40,"Gregor Virant's Civic List"
97020,20,"United Left"
97460,40,"Alliance of Alenka Bratušek"
97461,40,"Party of Miro Cerar"
97230,20,"The Left"
97341,40,"List of Marjan Šarec"
97460,40,"Party of Alenka Bratušek"
97461,40,"Modern Centre Party"
98221,20,"Communist Party of Ukraine"
98321,30,"Socialist Party of Ukraine"
98325,30,"Social Democractic Party of Ukraine"
98421,40,"Interregional Reform Bloc"
98422,40,"Party of Democratic Rebirth of Ukraine"
98423,30,"Labour Party"
98424,40,"Civic Congress of Ukraine"
98521,50,"Christian Democratic Party of Ukraine"
98611,60,"Popular Movement of Ukraine"
98612,60,"Ukrainian Republican Party"
98613,60,"Democratic Party of Ukraine"
98711,70,"Congress of Ukrainian Nationalists"
98712,60,"Ukrainian Conservative Republican Party"
98713,70,"Ukrainian National Assembly"
98810,80,"Peasant Party of Ukraine"
98951,90,"Party of Economic Revival of Crimea"
98111,10,"Green Party of Ukraine"
98322,20,"Progressive Socialist Party of Ukraine"
98323,30,"Bloc Socialist Party of Ukraine and Peasant Party of Ukraine"
98324,60,"All-Ukrainian Association ‘Community'"
98426,40,"People’s Democratic Party of Ukraine"
98427,20,"Social Democratic Party of Ukraine (United)"
98428,60,"Forward, Ukraine!"
98614,60,"Electoral Bloc ‘National Front'"
98811,80,"Agrarian Party of Ukraine"
98429,40,"For a United Ukraine!"
98615,60,"Viktor Yushchenko Bloc ‘Our Ukraine'"
98616,60,"Juliya Tymoshenko Election Bloc"
98952,95,"Party of Regions"
98081,98,"Lytvyn Bloc"
98615,60,"‘Our Ukraine - People's Self-Defense'"
98617,60,"All-Ukrainian Union ‘Fatherland'"
98630,60,"Ukrainian Democratic Alliance for Reform"
98720,70,"All-Ukrainian Union ‘Freedom'"
98618,60,"People's Front"
98620,60,"Union ‘Self Help'"
98631,60,"Petro Poroshenko Bloc ‘Solidarity'"
98730,70,"Radical Party of Oleh Lyashko"
98910,90,"Opposition Bloc"
98340,30,"Opposition Platform - For Life"
98350,30,"Opposition Bloc"
98440,40,"Servant of the People"
98450,40,"Voice"
98631,60,"European Solidarity"
113420,40,"Democratic Party"
113620,60,"Democratic Liberal Party"
113621,60,"National Unification Party"
113421,40,"National Congress for New Politics"
113622,60,"New Korea Party"
113650,60,"United Liberal Party"
113320,30,"Democratic Labour Party"
113430,40,"Millenium Democratic Party"
113630,60,"Grand National Party"
113422,40,"Uri Party"
113440,40,"United Democratic Party"
113651,60,"Liberty Forward Party"
113321,30,"United Progressive Party"
113440,40,"Democratic Party"
113630,60,"New Frontier Party"
113322,30,"Justice Party"
113441,40,"Democratic Party"
113442,40,"People's Party"
113443,40,"Open Democratic Party"
113450,40,"People Party"
113631,60,"United Future Party - including Future Korea Party"
150029,40,"Justicialist Party of Popular Unity"
150040,40,"Center Alliance"
150301,30,"Civic Radical Union"
150201,40,"Justicialist Party"
150202,20,"Front for a Country in Solidarity"
150028,40,"Justicialist Coalition for Change"
150032,30,"Aliance for Work, Justice, and Education"
150601,60,"Action for the Republic"
150022,20,"Front for Loyalty and Union of the Democratic Centre"
150025,20,"Front for Victory"
150205,20,"Front of the popular movement"
150210,20,"Alternative for a Republic of Equals"
150401,40,"Recreate for Growth"
150023,20,"Civic Coalition"
150027,20,"Justice, Union and Liberty Front"
150031,30,"An Advanced Union"
150024,20,"Social and Civic Agreement"
150061,60,"Alliance Union-PRO"
150220,20,"New Encounter"
150221,20,"Neuquén People's Movement"
150222,20,"It is possible"
150026,20,"Broad Progressive Front"
150027,20,"Federal Commitment"
150230,20,"Popular Front"
150021,20,"United for a New Alternative"
150062,60,"We change"
150025,20,"Everyone's Front"
150033,30,"Federal Consensus"
150062,60,"Together for Change"
151062,60,"Plan Progress for Bolivia – National Convergence"
151250,20,"Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples"
151255,20,"Social Alliance"
151610,60,"Nationalist Revolutionary Movement"
151617,60,"Autonomy for Bolivia"
151640,60,"National Unity Front"
151540,50,"Christian Democratic Party"
151640,60,"Democratic Union"
152061,60,"Great Alliance for Change"
152421,40,"Colombian Liberal Party"
152612,60,"Movement Yes Colombia"
152311,30,"Independent Democratic Pole"
152612,60,"Yes Colombia"
152622,60,"Colombia First"
152321,30,"Alternative Democratic Pole"
152331,30,"National Democratic Reconstruction"
152424,40,"Alliance of Social Independence/Indigenous"
152111,10,"Green Party"
152422,40,"Party of Radical Change"
152621,60,"Colombian Conservative Party"
152952,95,"Party of «U»"
152031,30,"Alternative Democratic Pole - Patriotic Union"
152041,40,"National Unity"
152111,10,"Green Alliance"
152623,60,"Democratic Center"
152021,20,"Decency List"
152042,40,"Best Vargas Lleras"
152062,60,"Grand Alliance of Colombia"
152981,98,"Colombian Coalition"
153321,30,"National Liberation Party"
153521,50,"Social Christian Unity Party"
153331,30,"Citizen’s Action Party"
153420,40,"Libertarian Movement Party"
153322,30,"Broad Front"
153522,50,"National Restoration Party"
153523,50,"Social Christian Republican Party"
153620,60,"National Integration Party"
154210,20,"Pachakutik Plurinational Unity Movement - New Country"
154510,50,"Popular Democracy - Christian Democratic Union"
154521,50,"Social Christian Party"
154951,999,"Ecuadorian Roldosist Party"
154001,999,"Patriotic Society Party - Pachakutik Plurinational Unity Movement - New Country"
154022,20,"Pairing Roldós-Padilla"
154321,30,"Democratic Left"
154711,70,"Institutional Renewal Party of National Action"
154031,30,"Democratic Left Alliance - Ethics and Democracy Network"
154322,30,"Proud and Sovereign Fatherland Alliance Movement"
154952,999,"Patriotic Society Party"
154021,20,"Plurinational Unity of the Lefts"
154712,70,"Creating Opportunities"
154032,30,"National Agreement for Change"
155021,20,"Concert of Parties for Democracy"
155061,60,"Democracy and Progress"
155620,60,"Liberal-Socialists of Chile"
155061,60,"Union for Chile's Progress"
155061,60,"Alliance for Chile"
155025,20,"Together we can do more for Chile"
155601,60,"Independent Democratic Union"
155602,60,"National Renewal"
155023,20,"New Majority for Chile"
155061,60,"Coalition for Change"
155021,20,"New Majority for Chile/Socialist Party of Chile"
155024,20,"If you want it, Chile changes"
155061,60,"Alliance"
155021,20,"New Majority for Chile"
155026,20,"Broad Front"
155061,60,"Chile let's go"
155201,20,"Progressive Party"
155501,50,"Christian Democratic Party"
155980,70,"Independent"
