manifesto_id,party,date,mean_score,std_score,n_sentences
53520_200205,53520,200205,0.9928,0.0843,419
53620_200205,53620,200205,0.9907,0.096,1505
53951_200205,53951,200205,0.979,0.1435,951
53110_200705,53110,200705,0.9854,0.1199,343
53320_200705,53320,200705,0.9912,0.0933,2048
53420_200705,53420,200705,0.987,0.1134,1304
53520_200705,53520,200705,0.9786,0.1448,1401
53620_200705,53620,200705,0.985,0.1215,1867
53951_200705,53951,200705,0.9903,0.098,1135
53021_201102,53021,201102,0.9762,0.1525,84
53110_201102,53110,201102,0.9862,0.1165,509
53230_201102,53230,201102,1.0,0.0,49
53320_201102,53320,201102,0.9895,0.1018,1242
53520_201102,53520,201102,0.992,0.0893,1367
53620_201102,53620,201102,0.9876,0.1106,565
53951_201102,53951,201102,0.9871,0.1129,542
53110_201602,53110,201602,0.9892,0.1035,462
53231_201602,53231,201602,0.9871,0.1128,388
53240_201602,53240,201602,0.9865,0.1152,223
53250_201602,53250,201602,0.972,0.1651,107
53320_201602,53320,201602,0.9818,0.1336,1430
53321_201602,53321,201602,0.9951,0.07,610
53520_201602,53520,201602,0.9876,0.1105,2103
53620_201602,53620,201602,0.9943,0.0828,1742
53951_201602,53951,201602,0.9956,0.0663,1132
53981_201602,53981,201602,0.9863,0.1162,73
53110_202002,53110,202002,0.9943,0.0756,1044
53231_202002,53231,202002,0.9915,0.092,586
53320_202002,53320,202002,0.9897,0.1008,779
53321_202002,53321,202002,0.986,0.1177,1353
53520_202002,53520,202002,0.9862,0.1169,2022
53620_202002,53620,202002,0.986,0.1216,1935
53951_202002,53951,202002,0.9859,0.1181,1626
53952_202002,53952,202002,0.9912,0.0934,1137
61320_196011,61320,196011,0.9987,0.0364,755
61620_196011,61620,196011,0.9956,0.0662,454
61320_196411,61320,196411,1.0,0.0,228
61620_196411,61620,196411,0.9966,0.0581,295
61320_196811,61320,196811,0.997,0.0549,662
61620_196811,61620,196811,0.9977,0.0474,444
61320_197211,61320,197211,0.9919,0.0994,1105
61620_197211,61620,197211,0.9954,0.0674,1097
61320_197611,61320,197611,0.9952,0.0692,832
61620_197611,61620,197611,0.9979,0.0462,934
61320_198011,61320,198011,0.9951,0.086,1617
61620_198011,61620,198011,0.9972,0.0531,1417
61320_198411,61320,198411,0.9984,0.0401,1861
61620_198411,61620,198411,0.9965,0.0593,1418
61320_198811,61320,198811,1.0,0.0,69
61620_198811,61620,198811,0.995,0.0776,1817
61320_199211,61320,199211,1.0,0.0,353
61620_199211,61620,199211,0.9961,0.0625,1532
61320_199611,61320,199611,0.9987,0.0366,745
61620_199611,61620,199611,0.9968,0.0569,1233
61320_200011,61320,200011,0.9955,0.067,1110
61620_200011,61620,200011,0.9933,0.0815,1647
61320_200411,61320,200411,0.9978,0.0468,910
61620_200411,61620,200411,0.996,0.0631,1751
61320_200811,61320,200811,0.9945,0.0739,1094
61620_200811,61620,200811,0.995,0.0706,998
61320_201211,61320,201211,0.9949,0.0957,980
61620_201211,61620,201211,0.9984,0.0402,1234
61320_201611,61320,201611,0.9981,0.0437,1045
61620_201611,61620,201611,0.9961,0.062,1553
61320_202011,61320,202011,0.9974,0.0512,1522
61620_202011,61620,202011,0.9961,0.062,1553
61320_202411,61320,202411,0.9937,0.0791,1745
61620_202411,61620,202411,1.0,0.0,227
62320_196206,62320,196206,1.0,0.0,472
62420_196206,62420,196206,0.9914,0.0924,348
62620_196206,62620,196206,0.9672,0.1781,61
62951_196206,62951,196206,0.9821,0.1324,112
62320_196304,62320,196304,1.0,0.0,15
62420_196304,62420,196304,0.9907,0.0958,324
62620_196304,62620,196304,0.9846,0.1231,65
62951_196304,62951,196304,1.0,0.0,54
62320_196511,62320,196511,1.0,0.0,23
62420_196511,62420,196511,1.0,0.0,342
62620_196511,62620,196511,0.9808,0.1373,104
62951_196511,62951,196511,1.0,0.0,69
62320_196806,62320,196806,0.9945,0.0737,183
62420_196806,62420,196806,0.9837,0.1266,307
62620_196806,62620,196806,0.9911,0.1215,337
62951_196806,62951,196806,0.9726,0.1632,73
62320_197210,62320,197210,0.9831,0.1291,177
62620_197210,62620,197210,0.9857,0.1187,70
62420_197407,62420,197407,0.9889,0.1048,90
62620_197407,62620,197407,1.0,0.0,52
62420_198002,62420,198002,1.0,0.0,114
62620_198002,62620,198002,1.0,0.0,45
62320_198409,62320,198409,0.9844,0.124,256
62420_198409,62420,198409,1.0,0.0,318
62320_198811,62320,198811,0.9833,0.1281,539
62420_199310,62420,199310,0.9556,0.2061,90
62320_199706,62320,199706,0.9884,0.107,604
62420_199706,62420,199706,0.9925,0.0865,1990
62620_199706,62620,199706,0.9942,0.0762,856
62621_199706,62621,199706,1.0,0.0,38
62901_199706,62901,199706,0.997,0.0544,337
62320_200011,62320,200011,1.0,0.0,387
62420_200011,62420,200011,0.9946,0.0736,551
62620_200011,62620,200011,0.9911,0.0941,672
62622_200011,62622,200011,0.9859,0.118,425
62320_200406,62320,200406,0.9915,0.092,586
62420_200406,62420,200406,0.9929,0.0838,707
62623_200406,62623,200406,0.9938,0.0785,484
62320_200601,62320,200601,0.9836,0.1393,610
62420_200601,62420,200601,0.9914,0.0922,1167
62623_200601,62623,200601,0.9827,0.1304,520
62110_200810,62110,200810,0.9961,0.0627,2029
62320_200810,62320,200810,0.9936,0.0799,623
62420_200810,62420,200810,0.9942,0.0758,346
62623_200810,62623,200810,0.9853,0.1202,273
62110_201510,62110,201510,0.989,0.1045,453
62320_201510,62320,201510,0.9896,0.1015,768
62420_201510,62420,201510,0.9973,0.0517,747
62623_201510,62623,201510,0.994,0.0775,1325
62110_201910,62110,201910,0.9882,0.117,1013
62320_201910,62320,201910,0.9952,0.0928,1042
62420_201910,62420,201910,0.9949,0.0712,786
62623_201910,62623,201910,0.9911,0.0942,1118
62110_202109,62110,202109,0.9966,0.0585,1164
62320_202109,62320,202109,0.9955,0.0866,1329
62420_202109,62420,202109,0.9925,0.0863,1599
62623_202109,62623,202109,0.9944,0.0748,1956
63320_196112,63320,196112,1.0,0.0,137
63330_196112,63330,196112,1.0,0.0,60
63620_196112,63620,196112,1.0,0.0,235
63810_196112,63810,196112,1.0,0.0,69
63320_196311,63320,196311,0.9779,0.147,181
63330_196311,63330,196311,0.9885,0.1064,262
63620_196311,63620,196311,0.9827,0.1305,173
63810_196311,63810,196311,1.0,0.0,60
63320_196611,63320,196611,0.9907,0.096,215
63330_196611,63330,196611,0.9946,0.0731,372
63620_196611,63620,196611,0.981,0.1367,210
63810_196611,63810,196611,0.9916,0.0913,119
63320_196910,63320,196910,0.9854,0.1201,410
63330_196910,63330,196910,0.9565,0.2039,69
63620_196910,63620,196910,1.0,0.0,248
63810_196910,63810,196910,0.9747,0.1571,79
63320_197212,63320,197212,0.9878,0.1096,493
63330_197212,63330,197212,0.9783,0.1458,138
63620_197212,63620,197212,0.992,0.0892,374
63810_197212,63810,197212,1.0,0.0,74
63330_197405,63330,197405,0.9959,0.064,243
63620_197405,63620,197405,0.9959,0.0636,246
63810_197405,63810,197405,1.0,0.0,80
63320_197512,63320,197512,0.9952,0.069,418
63330_197512,63330,197512,0.993,0.0832,287
63620_197512,63620,197512,1.0,0.0,218
63810_197512,63810,197512,0.995,0.0707,199
63320_197712,63320,197712,0.9933,0.0815,299
63330_197712,63330,197712,0.9362,0.2444,47
63620_197712,63620,197712,0.9924,0.0869,394
63810_197712,63810,197712,0.9898,0.1005,392
63320_198010,63320,198010,0.9846,0.1231,260
63620_198010,63620,198010,0.982,0.1331,942
63810_198010,63810,198010,1.0,0.0,200
63320_198303,63320,198303,0.9855,0.1195,345
63620_198303,63620,198303,0.9922,0.0879,1156
63810_198303,63810,198303,1.0,0.0,190
63320_198412,63320,198412,0.9894,0.1259,376
63620_198412,63620,198412,0.9953,0.0686,634
63810_198412,63810,198412,1.0,0.0,214
63320_198707,63320,198707,0.9741,0.1589,193
63810_198707,63810,198707,0.9954,0.0679,216
63320_199003,63320,199003,0.9177,0.2748,474
63620_199003,63620,199003,0.9797,0.1411,541
63810_199003,63810,199003,0.9952,0.0689,419
63320_199303,63320,199303,0.9724,0.1638,580
63620_199303,63620,199303,0.9948,0.0723,381
63810_199303,63810,199303,1.0,0.0,108
63320_199603,63320,199603,0.9925,0.0861,2544
63321_199603,63321,199603,0.9951,0.0695,412
63320_199810,63320,199810,0.9938,0.0786,161
63321_199810,63321,199810,0.9889,0.1048,90
63620_199810,63620,199810,0.9904,0.0976,104
63810_199810,63810,199810,0.9904,0.0976,104
63320_200111,63320,200111,1.0,0.0,228
63321_200111,63321,200111,0.9962,0.0612,266
63620_200111,63620,200111,0.9813,0.1353,268
63810_200111,63810,200111,1.0,0.0,157
63110_200410,63110,200410,1.0,0.0,156
63320_200410,63320,200410,0.994,0.0769,336
63620_200410,63620,200410,0.9899,0.0998,298
63810_200410,63810,200410,1.0,0.0,76
63110_200711,63110,200711,0.9919,0.0894,124
63320_200711,63320,200711,1.0,0.0,278
63620_200711,63620,200711,1.0,0.0,150
63810_200711,63810,200711,1.0,0.0,87
63110_201008,63110,201008,0.9954,0.0674,1315
63320_201008,63320,201008,0.9932,0.0825,438
63620_201008,63620,201008,1.0,0.0,46
63621_201008,63621,201008,1.0,0.0,46
63810_201008,63810,201008,0.9968,0.0568,927
63110_201309,63110,201309,0.9864,0.1158,294
63320_201309,63320,201309,0.9867,0.1147,300
63410_201309,63410,201309,1.0,0.0,165
63620_201309,63620,201309,0.9819,0.1332,498
63621_201309,63621,201309,0.9819,0.1332,498
63622_201309,63622,201309,0.9819,0.1332,498
63710_201309,63710,201309,1.0,0.0,157
63810_201309,63810,201309,0.9953,0.0685,849
63110_201607,63110,201607,0.991,0.0946,332
63320_201607,63320,201607,0.9862,0.1165,5377
63620_201607,63620,201607,0.9966,0.0578,298
63621_201607,63621,201607,0.9966,0.0578,298
63710_201607,63710,201607,1.0,0.0,238
63810_201607,63810,201607,0.9984,0.0395,641
