manifesto_id,party,date,mean_score,n_sentences
53240_201602,53240,201602,1.0,223
53250_201602,53250,201602,1.0,107
53320_201602,53320,201602,1.0,1430
53321_201602,53321,201602,1.0,610
53520_201602,53520,201602,1.0,2103
53620_201602,53620,201602,1.0,1742
53951_201602,53951,201602,1.0,1132
53981_201602,53981,201602,1.0,73
53110_202002,53110,202002,1.0,1044
53231_202002,53231,202002,1.0,586
53320_202002,53320,202002,1.0,779
53321_202002,53321,202002,1.0,1353
53520_202002,53520,202002,1.0,2022
53620_202002,53620,202002,1.0,1935
53951_202002,53951,202002,1.0,1626
53952_202002,53952,202002,1.0,1137
61320_196011,61320,196011,1.0,755
61620_196011,61620,196011,1.0,454
61320_196411,61320,196411,1.0,228
61620_196411,61620,196411,1.0,295
61320_196811,61320,196811,1.0,662
61620_196811,61620,196811,1.0,444
61320_197211,61320,197211,1.0,1105
61620_197211,61620,197211,1.0,1097
61320_197611,61320,197611,1.0,832
61620_197611,61620,197611,1.0,934
61320_198011,61320,198011,1.0,1617
61620_198011,61620,198011,1.0,1417
61320_198411,61320,198411,1.0,1861
61620_198411,61620,198411,1.0,1418
61320_198811,61320,198811,1.0,69
61620_198811,61620,198811,1.0,1817
61320_199211,61320,199211,1.0,353
61620_199211,61620,199211,1.0,1532
61320_199611,61320,199611,1.0,745
61620_199611,61620,199611,1.0,1233
61320_200011,61320,200011,1.0,1110
61620_200011,61620,200011,1.0,1647
61320_200411,61320,200411,1.0,910
61620_200411,61620,200411,1.0,1751
61320_200811,61320,200811,1.0,1094
61620_200811,61620,200811,1.0,998
61320_201211,61320,201211,1.0,980
61620_201211,61620,201211,1.0,1234
61320_201611,61320,201611,1.0,1045
61620_201611,61620,201611,1.0,1553
61320_202011,61320,202011,1.0,1522
61620_202011,61620,202011,1.0,1553
61320_202411,61320,202411,1.0,1745
61620_202411,61620,202411,1.0,227
62320_196206,62320,196206,1.0,472
62420_196206,62420,196206,1.0,348
62620_196206,62620,196206,1.0,61
62951_196206,62951,196206,1.0,112
62320_196304,62320,196304,1.0,15
62420_196304,62420,196304,1.0,324
62620_196304,62620,196304,1.0,65
62951_196304,62951,196304,1.0,54
62320_196511,62320,196511,1.0,23
62420_196511,62420,196511,1.0,342
62620_196511,62620,196511,1.0,104
62951_196511,62951,196511,1.0,69
62320_196806,62320,196806,1.0,183
62420_196806,62420,196806,1.0,307
62620_196806,62620,196806,1.0,337
62951_196806,62951,196806,1.0,73
62320_197210,62320,197210,1.0,177
62620_197210,62620,197210,1.0,70
62420_197407,62420,197407,1.0,90
62620_197407,62620,197407,1.0,52
62420_198002,62420,198002,1.0,114
62620_198002,62620,198002,1.0,45
62320_198409,62320,198409,1.0,256
62420_198409,62420,198409,1.0,318
62320_198811,62320,198811,1.0,539
62420_199310,62420,199310,1.0,90
62320_199706,62320,199706,1.0,604
62420_199706,62420,199706,1.0,1990
62620_199706,62620,199706,1.0,856
62621_199706,62621,199706,1.0,38
62901_199706,62901,199706,1.0,337
62320_200011,62320,200011,1.0,387
62420_200011,62420,200011,1.0,551
62620_200011,62620,200011,1.0,672
62622_200011,62622,200011,1.0,425
62320_200406,62320,200406,1.0,586
62420_200406,62420,200406,1.0,707
62623_200406,62623,200406,1.0,484
62320_200601,62320,200601,1.0,610
62420_200601,62420,200601,1.0,1167
62623_200601,62623,200601,1.0,520
62110_200810,62110,200810,1.0,2029
62320_200810,62320,200810,1.0,623
62420_200810,62420,200810,1.0,346
62623_200810,62623,200810,1.0,273
62110_201510,62110,201510,1.0,453
62320_201510,62320,201510,1.0,768
62420_201510,62420,201510,1.0,747
62623_201510,62623,201510,1.0,1325
62110_201910,62110,201910,1.0,1013
62320_201910,62320,201910,1.0,1042
62420_201910,62420,201910,1.0,786
62623_201910,62623,201910,1.0,1118
62110_202109,62110,202109,1.0,1164
62320_202109,62320,202109,1.0,1329
62420_202109,62420,202109,1.0,1599
62623_202109,62623,202109,1.0,1956
63320_196112,63320,196112,1.0,137
63330_196112,63330,196112,1.0,60
63620_196112,63620,196112,1.0,235
63810_196112,63810,196112,1.0,69
63320_196311,63320,196311,1.0,181
63330_196311,63330,196311,1.0,262
63620_196311,63620,196311,1.0,173
63810_196311,63810,196311,1.0,60
63320_196611,63320,196611,1.0,215
63330_196611,63330,196611,1.0,372
63620_196611,63620,196611,1.0,210
63810_196611,63810,196611,1.0,119
63320_196910,63320,196910,1.0,410
63330_196910,63330,196910,1.0,69
63620_196910,63620,196910,1.0,248
63810_196910,63810,196910,1.0,79
63320_197212,63320,197212,1.0,493
63330_197212,63330,197212,1.0,138
63620_197212,63620,197212,1.0,374
63810_197212,63810,197212,1.0,74
63330_197405,63330,197405,1.0,243
63620_197405,63620,197405,1.0,246
63810_197405,63810,197405,1.0,80
63320_197512,63320,197512,1.0,418
63330_197512,63330,197512,1.0,287
63620_197512,63620,197512,1.0,218
63810_197512,63810,197512,1.0,199
63320_197712,63320,197712,1.0,299
63330_197712,63330,197712,1.0,47
63620_197712,63620,197712,1.0,394
63810_197712,63810,197712,1.0,392
63320_198010,63320,198010,1.0,260
63620_198010,63620,198010,1.0,942
63810_198010,63810,198010,1.0,200
63320_198303,63320,198303,1.0,345
63620_198303,63620,198303,1.0,1156
63810_198303,63810,198303,1.0,190
63320_198412,63320,198412,1.0,376
63620_198412,63620,198412,1.0,634
63810_198412,63810,198412,1.0,214
63320_198707,63320,198707,1.0,193
63810_198707,63810,198707,1.0,216
63320_199003,63320,199003,1.0,474
63620_199003,63620,199003,1.0,541
63810_199003,63810,199003,1.0,419
63320_199303,63320,199303,1.0,580
63620_199303,63620,199303,1.0,381
63810_199303,63810,199303,1.0,108
63320_199603,63320,199603,1.0,2544
63321_199603,63321,199603,1.0,412
63320_199810,63320,199810,1.0,161
63321_199810,63321,199810,1.0,90
63620_199810,63620,199810,1.0,104
63810_199810,63810,199810,1.0,104
63320_200111,63320,200111,1.0,228
63321_200111,63321,200111,1.0,266
63620_200111,63620,200111,1.0,268
63810_200111,63810,200111,1.0,157
63110_200410,63110,200410,1.0,156
63320_200410,63320,200410,1.0,336
63620_200410,63620,200410,1.0,298
63810_200410,63810,200410,1.0,76
63110_200711,63110,200711,1.0,124
63320_200711,63320,200711,1.0,278
63620_200711,63620,200711,1.0,150
63810_200711,63810,200711,1.0,87
63110_201008,63110,201008,1.0,1315
63320_201008,63320,201008,1.0,438
63620_201008,63620,201008,1.0,46
63621_201008,63621,201008,1.0,46
63810_201008,63810,201008,1.0,927
63110_201309,63110,201309,1.0,294
63320_201309,63320,201309,1.0,300
63410_201309,63410,201309,1.0,165
63620_201309,63620,201309,1.0,498
63621_201309,63621,201309,1.0,498
63622_201309,63622,201309,1.0,498
63710_201309,63710,201309,1.0,157
63810_201309,63810,201309,1.0,849
63110_201607,63110,201607,1.0,332
63320_201607,63320,201607,1.0,5377
63620_201607,63620,201607,1.0,298
63621_201607,63621,201607,1.0,298
63710_201607,63710,201607,1.0,238
63810_201607,63810,201607,1.0,641
63901_201607,63901,201607,1.0,160
63110_201905,63110,201905,1.0,633
63320_201905,63320,201905,1.0,2844
63620_201905,63620,201905,1.0,3753
63621_201905,63621,201905,1.0,3753
63710_201905,63710,201905,1.0,216
63810_201905,63810,201905,1.0,4571
63901_201905,63901,201905,1.0,274
63110_202205,63110,202205,1.0,2390
63320_202205,63320,202205,1.0,891
63620_202205,63620,202205,1.0,7192
63621_202205,63621,202205,1.0,7192
63710_202205,63710,202205,1.0,26
63810_202205,63810,202205,1.0,6649
63901_202205,63901,202205,1.0,274
64320_196011,64320,196011,1.0,329
64620_196011,64620,196011,1.0,806
64951_196011,64951,196011,1.0,279
64320_196311,64320,196311,1.0,622
64620_196311,64620,196311,1.0,882
64951_196311,64951,196311,1.0,464
64320_196611,64320,196611,1.0,975
64620_196611,64620,196611,1.0,802
64951_196611,64951,196611,1.0,670
64320_196911,64320,196911,1.0,1042
64620_196911,64620,196911,1.0,1526
64951_196911,64951,196911,1.0,1316
64320_197211,64320,197211,1.0,1213
64620_197211,64620,197211,1.0,1616
64951_197211,64951,197211,1.0,1182
64320_197511,64320,197511,1.0,1170
64620_197511,64620,197511,1.0,2132
64951_197511,64951,197511,1.0,1721
64320_197811,64320,197811,1.0,2383
64620_197811,64620,197811,1.0,1694
64951_197811,64951,197811,1.0,2058
64320_198111,64320,198111,1.0,352
64620_198111,64620,198111,1.0,1561
64951_198111,64951,198111,1.0,1702
64320_198407,64320,198407,1.0,2307
64620_198407,64620,198407,1.0,128
64951_198407,64951,198407,1.0,214
64320_198708,64320,198708,1.0,109
