manifesto_id,party,date,mean_score
61320_200011,61320,200011,0.1462
61620_200011,61620,200011,0.1443
61320_200411,61320,200411,0.1747
61620_200411,61620,200411,0.1866
61320_200811,61320,200811,0.1612
61620_200811,61620,200811,0.1065
61320_201211,61320,201211,0.173
61620_201211,61620,201211,0.1249
61320_201611,61320,201611,0.1584
61620_201611,61620,201611,0.1187
61320_202011,61320,202011,0.1457
61620_202011,61620,202011,0.1187
61320_202411,61320,202411,0.1594
61620_202411,61620,202411,0.2116
62320_196206,62320,196206,0.1285
62420_196206,62420,196206,0.1486
62620_196206,62620,196206,0.1231
62951_196206,62951,196206,0.2122
62320_196304,62320,196304,0.2692
62420_196304,62420,196304,0.1562
62620_196304,62620,196304,0.0097
62951_196304,62951,196304,0.1612
62320_196511,62320,196511,0.1252
62420_196511,62420,196511,0.048
62620_196511,62620,196511,0.1002
62951_196511,62951,196511,0.0992
62320_196806,62320,196806,0.0852
62420_196806,62420,196806,0.0718
62620_196806,62620,196806,0.0448
62951_196806,62951,196806,0.2158
62320_197210,62320,197210,0.0993
62620_197210,62620,197210,0.0311
62420_197407,62420,197407,0.0579
62620_197407,62620,197407,0.1224
62420_198002,62420,198002,0.0889
62620_198002,62620,198002,0.1002
62320_198409,62320,198409,0.0885
62420_198409,62420,198409,0.1515
62320_198811,62320,198811,0.0574
62420_199310,62420,199310,0.0923
62320_199706,62320,199706,0.0835
62420_199706,62420,199706,0.123
62620_199706,62620,199706,0.1018
62621_199706,62621,199706,0.1809
62901_199706,62901,199706,0.1261
62320_200011,62320,200011,0.1136
62420_200011,62420,200011,0.1113
62620_200011,62620,200011,0.0958
62622_200011,62622,200011,0.0808
62320_200406,62320,200406,0.04
62420_200406,62420,200406,0.069
62623_200406,62623,200406,0.0758
62320_200601,62320,200601,0.0792
62420_200601,62420,200601,0.0883
62623_200601,62623,200601,0.0779
62110_200810,62110,200810,0.0068
62320_200810,62320,200810,0.1078
62420_200810,62420,200810,-0.006
62623_200810,62623,200810,0.0706
62110_201510,62110,201510,0.0537
62320_201510,62320,201510,0.0832
62420_201510,62420,201510,0.1487
62623_201510,62623,201510,0.0596
62110_201910,62110,201910,0.0563
62320_201910,62320,201910,0.0642
62420_201910,62420,201910,0.0758
62623_201910,62623,201910,0.0424
62110_202109,62110,202109,0.0258
62320_202109,62320,202109,0.0426
62420_202109,62420,202109,0.0795
62623_202109,62623,202109,0.0437
63320_196112,63320,196112,0.1015
63330_196112,63330,196112,0.1592
63620_196112,63620,196112,0.0905
63810_196112,63810,196112,0.1613
63320_196311,63320,196311,0.103
63330_196311,63330,196311,0.1269
63620_196311,63620,196311,0.0381
63810_196311,63810,196311,0.117
63320_196611,63320,196611,0.0959
63330_196611,63330,196611,0.0895
63620_196611,63620,196611,0.0723
63810_196611,63810,196611,0.0329
63320_196910,63320,196910,0.0849
63330_196910,63330,196910,0.0023
63620_196910,63620,196910,0.0401
63810_196910,63810,196910,0.141
63320_197212,63320,197212,0.0546
63330_197212,63330,197212,0.0871
63620_197212,63620,197212,0.091
63810_197212,63810,197212,0.0662
63330_197405,63330,197405,0.0773
63620_197405,63620,197405,0.0758
63810_197405,63810,197405,0.0591
63320_197512,63320,197512,0.12
63330_197512,63330,197512,0.0951
63620_197512,63620,197512,0.1449
63810_197512,63810,197512,0.1392
63320_197712,63320,197712,0.1203
63330_197712,63330,197712,0.0949
63620_197712,63620,197712,0.1323
63810_197712,63810,197712,0.1003
63320_198010,63320,198010,0.1403
63620_198010,63620,198010,0.1355
63810_198010,63810,198010,0.0915
63320_198303,63320,198303,0.0799
63620_198303,63620,198303,0.0894
63810_198303,63810,198303,0.1426
63320_198412,63320,198412,0.1069
63620_198412,63620,198412,0.1268
63810_198412,63810,198412,0.1602
63320_198707,63320,198707,0.1493
63810_198707,63810,198707,0.0818
63320_199003,63320,199003,0.1262
63620_199003,63620,199003,0.1396
63810_199003,63810,199003,0.1478
63320_199303,63320,199303,0.1167
63620_199303,63620,199303,0.1273
63810_199303,63810,199303,0.1107
63320_199603,63320,199603,0.1385
63321_199603,63321,199603,0.1134
63320_199810,63320,199810,0.101
63321_199810,63321,199810,0.062
63620_199810,63620,199810,0.1027
63810_199810,63810,199810,0.1027
63320_200111,63320,200111,0.1584
63321_200111,63321,200111,0.0839
63620_200111,63620,200111,0.1155
63810_200111,63810,200111,0.0672
63110_200410,63110,200410,0.1785
63320_200410,63320,200410,0.1288
63620_200410,63620,200410,0.1021
63810_200410,63810,200410,0.0943
63110_200711,63110,200711,0.1861
63320_200711,63320,200711,0.153
63620_200711,63620,200711,0.1049
63810_200711,63810,200711,0.1886
63110_201008,63110,201008,0.1555
63320_201008,63320,201008,0.1374
63620_201008,63620,201008,0.2267
63621_201008,63621,201008,0.2267
63810_201008,63810,201008,0.1018
63110_201309,63110,201309,0.067
63320_201309,63320,201309,0.04
63410_201309,63410,201309,0.1923
63620_201309,63620,201309,0.1755
63621_201309,63621,201309,0.1755
63622_201309,63622,201309,0.1755
63710_201309,63710,201309,0.1217
63810_201309,63810,201309,0.0681
63110_201607,63110,201607,0.1045
63320_201607,63320,201607,0.1426
63620_201607,63620,201607,0.1417
63621_201607,63621,201607,0.1417
63710_201607,63710,201607,0.122
63810_201607,63810,201607,0.1448
63901_201607,63901,201607,-0.0081
63110_201905,63110,201905,0.0253
63320_201905,63320,201905,0.1145
63620_201905,63620,201905,0.143
63621_201905,63621,201905,0.143
63710_201905,63710,201905,0.0107
63810_201905,63810,201905,0.1414
63901_201905,63901,201905,0.072
63110_202205,63110,202205,0.0811
63320_202205,63320,202205,0.1115
63620_202205,63620,202205,0.1441
63621_202205,63621,202205,0.1441
63710_202205,63710,202205,0.1459
63810_202205,63810,202205,0.1583
63901_202205,63901,202205,0.072
64320_196011,64320,196011,0.0956
64620_196011,64620,196011,0.1144
64951_196011,64951,196011,0.0961
64320_196311,64320,196311,0.0854
64620_196311,64620,196311,0.1191
64951_196311,64951,196311,0.1161
64320_196611,64320,196611,0.0881
64620_196611,64620,196611,0.1128
64951_196611,64951,196611,0.0979
64320_196911,64320,196911,0.0797
64620_196911,64620,196911,0.1274
64951_196911,64951,196911,0.1016
64320_197211,64320,197211,0.078
64620_197211,64620,197211,0.113
64951_197211,64951,197211,0.0788
64320_197511,64320,197511,0.086
64620_197511,64620,197511,0.0872
64951_197511,64951,197511,0.0875
64320_197811,64320,197811,0.1055
64620_197811,64620,197811,0.1046
64951_197811,64951,197811,0.0933
64320_198111,64320,198111,0.0984
64620_198111,64620,198111,0.1317
64951_198111,64951,198111,0.098
64320_198407,64320,198407,0.1155
64620_198407,64620,198407,0.1574
64951_198407,64951,198407,0.0847
64320_198708,64320,198708,0.0833
64620_198708,64620,198708,0.1511
64951_198708,64951,198708,0.1322
64320_199010,64320,199010,0.1418
